,0
0,3.242980353410244e-05
1,9.588500374103989e-07
2,9.612429338869107e-08
3,1.5469753355353863e-10
4,5.672433765789937e-07
5,7.353958082912962e-06
6,8.876855569919512e-06
7,2.802913981027796e-06
8,8.835216497058158e-12
9,2.9707583658901103e-07
10,3.8031522329983742e-06
11,1.506414134313865e-05
12,1.6163885450798492e-05
13,1.975957709843173e-06
14,1.3497027934343486e-07
15,2.336966623063165e-05
16,8.427418061134273e-09
17,1.0512380429119106e-08
18,2.2241080463294384e-06
19,2.0243741836845912e-05
20,1.2966386682760492e-06
21,1.3206159386066728e-07
22,0.000168311185461097
23,2.5984160617089128e-05
24,0.00014591812507715117
25,1.190801948933462e-05
26,4.11927162213519e-07
27,3.05972325908668e-05
28,0.0007448516492358408
29,3.248431753480574e-06
30,5.144314802931879e-10
31,0.0007448516492358408
32,3.181132475759199e-06
33,1.7558335293387116e-09
34,8.954997335303975e-09
35,2.702453015064688e-05
36,1.1150753702765516e-05
37,6.333763447449432e-08
38,2.757851233705731e-05
39,8.396614806083602e-06
40,1.013179681214918e-07
41,5.352621787538967e-07
42,3.987148328960472e-07
43,1.6495452924766886e-05
44,9.264656095946911e-06
45,5.934791340165326e-08
46,0.0004512264205599366
47,1.2570878384767977e-07
48,1.1680850611953322e-08
49,0.0007448516492358408
50,5.383609738406767e-07
51,3.207519951931094e-07
52,4.9544841312654065e-08
53,0.00044450406100582726
54,5.0523969135736855e-06
55,7.10963718675606e-10
56,2.0051974650602956e-07
57,2.0013364878002815e-06
58,0.00022607263158025946
59,4.947972498465064e-05
60,4.397226364879444e-06
61,3.411083719926442e-05
62,2.147324567440905e-05
63,1.1279012724825976e-06
64,0.00047917790481932977
65,1.2126286044729189e-06
66,4.055466112798541e-06
67,8.436129316375668e-07
68,2.330899401727322e-05
69,1.1193112475684192e-05
70,2.4858630480635033e-09
71,2.928768860351821e-06
72,8.10695947350067e-06
73,5.712821826576372e-07
74,1.6224734388285213e-07
75,1.7718819975446616e-08
76,9.644550289799344e-06
77,6.598904136989911e-06
78,3.40220914055615e-05
79,4.550481905091081e-06
80,6.550094303332247e-07
81,2.7153511820092865e-08
82,1.9538997026779466e-06
83,3.87045688237327e-06
84,5.207589430482475e-08
85,3.6997503292881473e-07
86,3.90824132876412e-08
87,2.793706988256421e-07
88,0.00016982089780578173
89,1.6963987356986981e-06
90,5.247565307931446e-07
91,1.75155250154244e-06
92,9.951593671058265e-07
93,5.9310269832237314e-09
94,5.189007998333257e-08
95,6.078085025500015e-05
96,2.337723832804925e-06
97,2.2266094769689477e-07
98,3.9716603833369967e-07
99,4.454381763620943e-08
100,0.0009597702856353743
101,6.15290136053267e-06
102,1.1541985463160039e-09
103,0.0002676229788910134
104,1.7614184181590517e-07
105,4.4987313077291626e-07
106,1.357099946378907e-06
107,0.0006319407481958582
108,1.2772223402259966e-05
109,0.00029105339130311105
110,7.427318564308439e-07
111,2.2114374356644303e-08
112,5.7942215513778185e-05
113,4.294201668565321e-09
114,1.175943801191544e-06
115,1.2323028528343254e-05
116,4.75120741213947e-06
117,1.1153933522958611e-05
118,1.2459087833162881e-05
119,1.1935076008359458e-06
120,1.317319159428622e-05
121,7.036229605757389e-07
122,1.9060968072622908e-06
123,3.8206161952087896e-08
124,1.4105559718901284e-06
125,0.0007448516492358408
126,8.737968238836739e-07
127,0.0005066801670072392
128,4.164517987937055e-06
129,3.059438857325875e-06
130,5.4710944715712495e-05
131,0.00010913794102921287
132,2.5448303872152205e-06
133,5.6075022512492915e-05
134,1.9519491549664134e-07
135,2.1991878434522197e-09
136,5.29498843124789e-08
137,5.6436170194046835e-08
138,1.1434579140205598e-06
139,1.682814639521819e-05
140,1.0094371139618038e-05
141,7.1378150168271225e-06
142,2.787987008654356e-05
143,2.431382066903584e-08
144,0.0002975339056304474
145,0.0007448516492358408
146,7.815032420728701e-07
147,7.845932868306532e-06
148,2.5766982119958986e-07
149,5.69359600327447e-08
150,8.042993900076749e-10
151,2.2800567134037603e-06
152,1.352478152805544e-05
153,1.6372812951427755e-05
154,0.00027907289778176825
155,1.5346248836411906e-09
156,1.4797414470424316e-06
157,9.466362291109797e-06
158,2.0299608964589648e-07
159,1.7283994990264715e-06
160,8.816728241493956e-10
161,5.314163238851399e-07
162,1.2532193747269411e-05
163,1.516102240960812e-07
164,5.616309004079397e-07
165,3.790195929417137e-08
166,4.496243319810245e-05
167,1.0273868571845852e-07
168,5.909977427814162e-06
169,3.097910915120334e-06
170,4.396132364350178e-06
171,3.3787471730065707e-06
172,4.380139662772741e-09
173,3.519397034833384e-08
174,2.7525683195112423e-07
175,6.928204922777325e-07
176,3.3274325465746603e-09
177,1.5370319929682075e-08
178,1.1421699297759868e-07
179,1.598864084427275e-07
180,2.3210386492538932e-10
181,8.644613265243867e-06
182,1.4794224895135657e-09
183,2.0562225697881175e-06
184,4.221293219694166e-08
185,7.635110985013725e-08
186,1.7585321559973983e-05
187,3.721574860266222e-07
188,2.5065446160245844e-06
189,9.814892275009847e-07
190,3.5498986697239475e-05
191,6.645923978809159e-09
192,5.023154497368043e-06
193,9.234834222403138e-09
194,0.00019722874653910994
195,2.7243345357728343e-09
196,1.7182198891767704e-06
197,4.565117500398921e-05
198,3.338483558923918e-05
199,7.652172228945397e-07
200,2.4878030294634935e-06
201,4.056168867044506e-09
202,3.9719445257812324e-08
203,2.878996012674728e-06
204,7.3382669911431705e-06
205,1.4676784033145557e-06
206,5.894853817689319e-06
207,4.87861076979699e-07
208,4.366957819910359e-05
209,8.532027932781502e-09
210,4.719878289191482e-09
211,3.5059813230649057e-10
212,6.534461394154016e-07
213,1.6829818650168415e-05
214,7.231243764565783e-07
215,1.925677171113358e-06
216,5.5870983003760516e-05
217,2.6750771299924066e-06
218,5.551748862778779e-05
219,8.730460215029704e-06
220,9.235272408669292e-07
221,3.1324483942733394e-05
222,3.2875178693354635e-05
223,2.177014461884913e-05
224,1.2049548424822028e-05
225,0.01650016309714799
226,0.00011032722471073693
227,9.827666759907225e-05
228,9.795289592106759e-05
229,7.027751120296402e-07
230,3.841686928583449e-06
231,1.5480016925565593e-06
232,3.3092545277393663e-07
233,5.560888537730159e-05
234,2.6744091178143e-05
235,5.05169394226984e-06
236,1.8261375406464404e-08
237,1.563017708491736e-05
238,0.0005905998525737049
239,2.9208026923442156e-05
240,1.9565237469155903e-07
241,0.0010200974781971398
242,6.989102000137559e-08
243,1.7258933409421603e-05
244,2.783655790240195e-10
245,7.06999524152189e-05
246,4.541513295947041e-08
247,1.8661633250609263e-06
248,1.387698351483089e-06
249,5.9677891697858806e-05
250,8.737304035476114e-07
251,4.284046103489233e-07
252,5.3784078050638e-05
253,1.5451963728993624e-06
254,1.0991735658167127e-08
255,3.1002818548598297e-06
256,4.344418224193764e-08
257,8.995988233416336e-06
258,2.671574626398878e-08
259,3.401962090191142e-06
260,7.750746337460883e-06
261,3.5230267009946664e-06
262,0.0010938348961566095
263,1.5255122557881014e-05
264,1.6739072149929417e-07
265,1.407065257865466e-06
266,7.67088323579682e-06
267,3.555907954906835e-05
268,6.910322834680832e-06
269,7.751838472984706e-07
270,1.0323907508325307e-05
271,4.7185453717923995e-06
272,1.86459633479757e-07
273,8.670201285469309e-09
274,4.3085240450239695e-06
275,1.8553615739602904e-05
276,8.3371677959718e-07
277,3.5748008394111003e-10
278,3.236749535568213e-07
279,0.0012662792565933693
280,2.046767818733761e-09
281,1.3021212645259241e-08
282,9.280734443460396e-08
283,6.693334714628103e-05
284,6.794739618063823e-06
285,0.00011265512766896624
286,0.0001937172889663658
287,1.4257506209212427e-05
288,2.986603086679135e-05
289,4.642524849629341e-08
290,0.0013849868822638368
291,1.395254023723412e-06
292,0.00030017186796809064
293,1.0600102348436938e-05
294,3.548766781063916e-07
295,4.0285914543041854e-07
296,3.462207765947823e-06
297,5.998608729930089e-07
298,1.2840881057428187e-07
299,1.1257345464783807e-05
300,7.01080084319335e-05
301,3.4414417755955334e-06
302,4.2853811543069777e-07
303,1.0648568016139555e-05
304,6.002362464077179e-05
305,2.6888775377678073e-06
306,3.7613883774419477e-06
307,2.3416066166028495e-05
308,0.00033353098301183785
309,7.352461283665379e-09
310,4.6685384099521176e-07
311,3.292065786432183e-07
312,1.455667389105555e-06
313,1.78762233140817e-05
314,5.979276434852745e-06
315,0.0007448516492358408
316,3.2793698775337555e-06
317,5.37282475846332e-08
318,2.2924084110227335e-06
319,3.8926411091886524e-05
320,2.2469427364035525e-08
321,2.05618958962034e-07
322,2.475342706447185e-06
323,2.3736967531060516e-05
324,1.6844023070074705e-07
325,0.00028778250855489757
326,6.6368500613531055e-09
327,9.77082241046331e-05
328,1.5118785669274893e-06
329,4.7396389593796675e-05
330,3.6097799693163296e-05
331,6.118325219169737e-08
332,2.701718034826612e-06
333,8.300287360407527e-08
334,0.004887340800774201
335,0.0023718640512910413
336,8.761424101411424e-06
337,1.130311031525072e-08
338,3.3512422503707158e-06
339,1.1564805957561938e-07
340,2.8120982050147226e-06
341,0.0004499756339201108
342,7.766687995116164e-07
343,1.1997409168571762e-10
344,5.382521681359221e-07
345,2.4534715112012378e-08
346,5.4961711677053065e-08
347,1.6280765357051644e-05
348,0.0007448516492358408
349,0.0007448516492358408
350,1.0856103510097179e-10
351,1.1143088654827991e-07
352,4.645226810681226e-05
353,8.311252778848213e-06
354,5.450788608071429e-10
355,3.006207167273237e-07
356,0.000316589856729768
357,0.0007448516492358408
358,3.014705946970614e-07
359,5.59166982916978e-05
360,0.010381243179362577
361,2.0762021804833585e-08
362,2.851504288045734e-09
363,8.102414211955277e-07
364,8.358529528321164e-06
365,2.92990939601446e-05
366,2.8223831233314528e-05
367,1.118894516434507e-08
368,6.914684026126107e-08
369,2.0583375533847625e-09
370,0.0012925747098818203
371,1.7168209674229072e-07
372,5.267138665374291e-07
373,2.353090209518883e-07
374,1.4224614201835404e-07
375,5.249562845829532e-06
376,3.7531752165757944e-08
377,4.8659000956051755e-05
378,1.5550105849171874e-06
379,3.57560184410634e-08
380,1.521522301845386e-08
381,1.0174474825357393e-06
